titulo,operacion,sector_buscado,precio_texto,precio_num,moneda,habitaciones,banos,metros_m2,amueblado,ubicacion,url
Apartamento amueblado en Bella Vista,alquiler,todos,"US$ 1,200",1200.0,USD,3.0,3,,sí,"location_onDistrito Nacional, Santo Domingo.Bella Vista, Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amueblado-en-bella-vista-2c6vzd5
Alquiler en el Millon,alquiler,todos,"US$ 1,100",1100.0,USD,2.0,2,200.0,sí,"location_onDistrito Nacional, Santo Domingo.El Millón, Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-en-el-millon-kfbnm6s
Alquiler de apartamentos en la Esperilla,alquiler,todos,"US$ 1,500",1500.0,USD,1.0,1,110.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-de-apartamentos-en-la-esperilla-y5g9eek
Apartamento en alquiler de 1 habitación en el Ensa,alquiler,todos,US$ 900,900.0,USD,1.0,1,63.0,sí,"Distrito Nacional, Santo Domingo.Ensanche Naco, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-de-1-habitacion-en-el-ensa-g024e4a
"Apartamento en alquiler amueblado, Evaristo Morale",alquiler,todos,"US$ 1,850",1850.0,USD,3.0,3,250.0,sí,"location_onDistrito Nacional, Santo Domingo.Distrito Nacionalapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-amueblado-evaristo-morale-5b37m7f
Local Comercial en Alquiler – Av. 27 de Febrero #3,alquiler,todos,"US$ 1,700",1700.0,USD,6.0,1,80.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/local-comercial-en-alquiler-av-27-de-febrero-3-s4wbwsk
"Mirador Norte, Distrito Nacional, Santo Domingo Re",alquiler,todos,"US$ 1,600",1600.0,USD,3.0,3,17.0,sí,"Distrito Nacional, Santo Domingo.Mirador Norte, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/mirador-norte-distrito-nacional-santo-domingo-re-08ypzah
"🏙️✨ Apartamento en Alquiler – Evaristo Morales, Sa",alquiler,todos,"US$ 1,700",1700.0,USD,3.0,3,240.0,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-alquiler-evaristo-morales-sa-05qkw0a
"Evaristo Morales, Distrito Nacional, Santo Domingo",alquiler,todos,"US$ 1,700",1700.0,USD,3.0,3,240.0,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/evaristo-morales-distrito-nacional-santo-domingo-02rs9kj
Alquiler de apartamento en Evaristo Morales,alquiler,todos,"US$ 1,700",1700.0,USD,3.0,3,240.0,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-de-apartamento-en-evaristo-morales-fannbn6
